Method Name: ASP.global_asax::Session_Start , Response time: 0

Method Name: ASP.login_aspx::FrameworkInitialize , Response time: 0

Method Name: ASP.loginmaster_master::FrameworkInitialize , Response time: 0

Method Name: CAPPP.Master.Licence::ReadFile , Response time: 0

Method Name: CAPPP.Master.Licence::DecryptPassword , Response time: 0

Method Name: login::GetCurConnStringDBName , Response time: 249

Method Name: login::Page_Load , Response time: 249

Method Name: LoginMaster::Page_Load , Response time: 0

Method Name: login::grdManageAccount_NeedDataSource , Response time: 0

Method Name: ASP.login_aspx::ProcessRequest , Response time: 1311

Method Name: ASP.global_asax::Session_End , Response time: 0

Method Name: ASP.global_asax::Application_End , Response time: 0

Method Name: Bid.AutoInit::get_IsInvalid , Response time: 0

Method Name: Bid.AutoInit::ReleaseHandle , Response time: 0

